gene_id	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12
ENSG00000000003	816	512	536	730	387	705	568	854	830	679	499	505
ENSG00000000005	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	433	259	271	275	245	255	258	387	376	261	248	236
ENSG00000000457	248	159	151	200	156	204	116	244	236	162	168	152
ENSG00000000460	160	131	107	187	82	163	69	98	109	139	63	64
ENSG00000000938	5	1	4	1	11	1	2	22	7	1	6	2
ENSG00000000971	802	634	544	470	220	456	438	693	676	162	164	143
ENSG00000001036	425	272	226	302	198	283	202	369	342	295	243	239
ENSG00000001084	337	238	275	275	278	224	322	518	540	262	316	331
ENSG00000001167	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001460	130	114	86	92	167	89	97	265	242	107	108	107
ENSG00000001461	1875	1660	1224	1303	2946	1166	1265	4137	4267	1738	1302	1119
ENSG00000001497	740	528	455	620	390	572	369	650	640	459	392	350
ENSG00000001561	254	214	192	128	107	100	259	396	477	82	127	116
ENSG00000001617	285	150	192	452	498	430	196	452	384	160	259	221
ENSG00000001626	2	4	0	1	9	1	1	6	9	2	7	3
ENSG00000001629	2188	1613	1551	1597	1320	1404	1490	2235	2325	1473	1395	1238
ENSG00000001630	10	3	12	4	6	1	5	5	3	7	6	4
ENSG00000001631	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002016	396	246	269	255	238	265	240	371	432	266	301	231
ENSG00000002079	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000002330	46	32	26	29	34	29	20	61	66	30	31	30
ENSG00000002549	486	319	300	348	262	319	264	467	479	283	234	217
ENSG00000002586	5837	4142	3814	3914	3922	3714	3685	10556	10198	5644	6020	5405
ENSG00000002587	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002726	9	3	7	3	0	3	4	10	12	4	6	0
ENSG00000002745	9	10	4	35	200	25	11	20	24	11	29	34
ENSG00000002746	991	597	554	846	389	932	873	1057	1081	408	249	257
ENSG00000002822	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002834	2796	2042	1861	1880	1526	1727	1562	2793	2673	1772	1597	1462
ENSG00000002919	276	203	193	197	181	197	143	305	291	224	218	199
ENSG00000002933	26	16	22	0	0	1	49	36	37	5	48	38
ENSG00000003056	1253	749	776	1062	680	936	943	1397	1458	906	811	762
ENSG00000003096	16	16	16	8	1	14	12	18	20	31	63	50
ENSG00000003137	1222	633	799	593	302	575	775	1678	1519	914	1261	1164
ENSG00000003147	1	1	2	4	2	3	1	2	2	0	0	2
ENSG00000003249	19	12	11	18	8	12	8	34	42	17	9	9
ENSG00000003393	958	687	704	815	760	755	640	1041	1063	657	737	691
ENSG00000003400	175	128	118	146	79	157	127	237	217	68	64	40
ENSG00000003402	1787	1102	1146	1085	1051	1073	1332	2230	2195	1082	1500	1384
ENSG00000003436	0	1	0	3	1	1	0	1	1	0	2	0
ENSG00000003509	300	198	225	237	201	200	190	329	367	244	303	287
ENSG00000003756	1719	1081	1137	1264	1095	1232	926	1487	1691	1112	1158	1046
ENSG00000003987	19	11	7	9	8	6	14	15	15	14	18	10
ENSG00000003989	2	3	3	0	0	0	0	1	0	0	3	0
ENSG00000004059	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004139	193	107	106	115	102	122	110	142	152	103	70	67
ENSG00000004142	2039	1426	1419	1480	1293	1302	1190	1863	1922	1266	1011	885
ENSG00000004399	8693	5265	5512	4374	2828	4209	7244	12196	11451	8713	7387	6651
ENSG00000004455	146	102	113	115	67	104	88	110	108	101	73	68
ENSG00000004468	0	0	0	0	0	1	3	1	1	1	1	1
ENSG00000004478	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004487	173	133	115	131	84	120	75	143	117	88	82	70
ENSG00000004534	2400	1569	1559	1834	1699	1829	1380	2876	3022	1683	1928	1868
ENSG00000004660	630	338	401	503	840	455	414	892	945	574	366	368
ENSG00000004700	1532	1132	1000	1104	726	929	1012	1571	1584	1339	1206	1134
ENSG00000004766	441	356	310	370	342	379	294	475	503	289	242	264
ENSG00000004776	57	52	43	88	99	87	13	192	183	183	137	104
ENSG00000004777	201	140	127	180	136	180	57	113	138	145	54	50
ENSG00000004779	554	367	380	456	288	399	466	539	552	511	360	356
ENSG00000004799	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004809	0	1	0	1	0	2	2	1	1	0	0	0
ENSG00000004838	0	0	0	0	1	0	0	0	0	0	1	0
ENSG00000004846	0	1	1	0	2	1	5	5	9	0	0	2
ENSG00000004848	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000004864	491	319	327	374	328	385	338	436	523	366	324	271
ENSG00000004866	337	246	245	214	209	191	224	424	429	163	267	238
ENSG00000004897	2512	1786	1742	2073	1295	1671	1443	2048	2130	1594	1508	1374
ENSG00000004939	0	0	0	0	0	0	0	0	0	0	3	0
ENSG00000004948	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004961	246	165	143	149	168	135	129	234	219	161	110	116
ENSG00000004975	1112	734	772	709	661	700	544	1214	1202	592	603	575
ENSG00000005001	1	0	0	0	0	0	0	0	0	2	0	0
ENSG00000005007	3304	2066	2060	3056	2505	2914	2056	4332	4252	2582	3491	3197
ENSG00000005020	1089	784	811	856	670	786	635	950	918	656	649	623
ENSG00000005022	2327	1555	1545	1846	1323	1638	1231	1779	1817	1545	1102	1130
ENSG00000005059	161	129	130	199	258	165	95	296	278	176	242	243
ENSG00000005073	449	282	314	234	147	223	181	254	222	135	136	123
ENSG00000005075	334	224	212	279	254	252	199	376	334	216	203	204
ENSG00000005100	290	222	190	205	164	196	172	267	263	208	194	170
ENSG00000005102	5	1	4	1	4	1	4	3	4	1	0	1
ENSG00000005108	2	2	1	7	1	6	5	1	4	4	1	2
ENSG00000005156	594	385	397	433	321	364	293	423	415	301	294	253
ENSG00000005175	621	409	408	463	375	416	433	612	657	544	438	391
ENSG00000005187	2	3	2	3	5	1	2	4	4	1	0	1
ENSG00000005189	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005194	594	417	426	488	371	425	422	653	652	483	442	427
ENSG00000005206	900	573	554	714	610	674	449	810	828	568	571	547
ENSG00000005238	1865	1179	1188	1445	1207	1314	1236	2284	2255	1568	1185	1189
ENSG00000005243	1147	932	822	816	748	744	676	1270	1456	605	784	729
ENSG00000005249	105	75	67	103	135	103	54	68	58	58	23	21
ENSG00000005302	930	633	618	600	485	585	500	955	984	557	663	618
ENSG00000005339	3378	2097	2011	2058	2271	2173	1556	2876	2797	1681	2029	1940
ENSG00000005379	81	65	36	145	126	133	17	64	60	23	27	26
ENSG00000005381	0	0	0	1	1	0	1	0	1	1	0	1
ENSG00000005421	1	1	0	0	0	0	1	1	0	0	0	0
ENSG00000005436	100	80	80	110	96	87	74	122	127	82	99	59
ENSG00000005448	251	181	167	186	122	124	89	224	190	112	97	87
ENSG00000005469	582	403	434	435	216	439	334	517	526	235	213	174
ENSG00000005471	304	203	216	107	42	131	131	319	256	92	160	142
ENSG00000005483	1710	1062	1103	1138	929	1034	825	1718	1695	886	1206	1108
ENSG00000005486	1507	813	914	914	783	864	754	1194	1227	1043	792	660
ENSG00000005513	14	2	6	5	4	3	7	8	8	22	8	22
ENSG00000005700	2348	1717	1670	1772	1435	1584	1457	2157	2370	1712	1708	1608
ENSG00000005801	578	311	419	474	273	418	349	466	443	388	430	384
ENSG00000005810	1033	675	621	712	565	677	624	901	913	657	662	598
ENSG00000005812	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005844	0	0	3	0	2	0	0	3	0	1	2	0
ENSG00000005882	608	452	420	460	429	452	278	700	720	325	314	288
ENSG00000005884	4028	2111	2464	2726	1318	2340	2966	3922	3937	4566	3739	3322
ENSG00000005889	1605	1117	1130	1338	1082	1193	998	1718	1798	917	1261	1182
ENSG00000005893	5415	3562	3679	3081	2874	2910	3881	6097	6286	3453	3462	3199
ENSG00000005961	6	6	8	11	6	10	4	4	17	2	6	3
ENSG00000005981	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006007	1312	945	900	951	843	869	764	1833	1768	994	979	945
ENSG00000006015	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006016	381	227	244	2046	1986	2030	1999	2001	2113	4702	1823	1606
ENSG00000006025	146	110	103	248	103	244	79	128	161	90	38	40
ENSG00000006042	2241	1448	1490	1467	977	1461	1213	1781	1782	1207	986	938
ENSG00000006047	1	0	0	0	0	1	0	1	0	1	0	0
ENSG00000006059	0	1	1	0	0	0	1	0	0	2	0	0
ENSG00000006062	124	108	71	63	107	80	61	144	186	108	89	97
ENSG00000006071	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000006116	0	0	1	0	0	1	0	0	0	0	0	0
ENSG00000006118	1941	1043	1287	647	352	682	1293	1594	1417	1073	514	442
ENSG00000006125	6034	4230	3913	4223	2917	3834	3022	4545	4357	3130	2592	2544
ENSG00000006128	25	9	12	0	4	4	73	3	1	4	1	5
ENSG00000006194	832	506	535	501	465	488	483	879	887	480	606	588
ENSG00000006210	5	1	0	1	0	1	1	1	0	0	4	2
ENSG00000006282	1200	875	805	1209	790	1205	777	1273	1302	543	383	332
ENSG00000006283	1154	658	735	425	135	438	286	161	148	46	9	9
ENSG00000006327	4927	3038	2989	3133	2798	2710	3329	4096	4413	3779	3689	3374
ENSG00000006377	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006432	4	3	7	4	2	10	8	9	10	9	8	7
ENSG00000006451	2526	1777	1769	1857	1768	1651	1986	2766	2814	1765	1436	1384
ENSG00000006453	59	42	32	35	34	40	53	173	217	64	125	92
ENSG00000006459	641	337	419	311	384	260	434	619	609	757	818	745
ENSG00000006468	585	239	372	570	255	596	393	473	531	883	762	744
ENSG00000006530	262	198	201	252	181	218	159	236	257	182	156	160
ENSG00000006534	528	420	338	350	499	335	201	717	685	254	346	289
ENSG00000006555	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000006576	1935	1346	1357	1885	982	1763	1504	1452	1665	1701	1039	981
ENSG00000006606	41	19	23	24	17	21	29	28	29	32	18	24
ENSG00000006607	1459	1116	982	1162	1040	982	830	1537	1547	840	1044	980
ENSG00000006611	0	0	0	1	0	0	0	1	1	0	0	1
ENSG00000006625	115	107	67	72	69	68	77	86	93	63	55	51
ENSG00000006634	211	187	163	238	88	209	123	196	173	204	116	84
ENSG00000006638	44	35	31	39	44	44	28	95	86	78	29	40
ENSG00000006652	9	7	6	6	7	7	9	9	9	6	5	6
ENSG00000006659	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006695	322	194	173	230	217	185	211	338	331	196	212	198
ENSG00000006704	659	413	444	505	397	464	380	620	568	532	399	328
ENSG00000006712	1257	905	814	960	783	888	633	1129	1181	841	568	568
ENSG00000006715	1481	1011	1066	996	703	970	1188	1423	1447	1097	735	653
ENSG00000006740	26	22	23	37	16	30	28	62	46	113	62	44
ENSG00000006744	1315	906	949	1135	891	989	840	1541	1621	1004	786	685
ENSG00000006747	5	5	1	0	0	1	7	10	22	8	14	11
ENSG00000006756	711	463	471	652	510	681	292	713	710	461	351	345
ENSG00000006757	29	27	27	46	40	35	54	115	120	83	44	49
ENSG00000006788	0	0	0	0	0	0	5	2	0	0	0	1
ENSG00000006831	1837	1253	1281	1187	1250	1014	1044	2160	2092	1157	1479	1396
ENSG00000006837	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007001	5	4	5	6	4	5	8	15	6	3	3	3
ENSG00000007038	0	0	0	1	2	0	1	0	1	0	1	1
ENSG00000007047	1324	804	835	838	780	757	811	1393	1410	805	866	840
ENSG00000007062	1	0	1	0	0	0	0	0	3	2	0	0
ENSG00000007080	948	672	635	682	562	582	433	815	747	570	538	513
ENSG00000007129	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007168	3869	2689	2648	3009	2789	2705	2319	3784	3891	2645	2686	2537
ENSG00000007171	2	1	0	3	0	2	0	1	0	0	1	0
ENSG00000007174	3	2	3	8	4	6	3	7	10	0	4	5
ENSG00000007202	4507	3229	2972	2770	2305	2687	2402	3941	3675	2589	2164	1910
ENSG00000007216	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007237	3034	1798	2031	2298	1494	2147	1569	3098	2844	2032	2094	1963
ENSG00000007255	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007264	2	1	0	4	1	3	4	1	7	1	3	0
ENSG00000007306	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007312	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007314	0	1	0	1	1	0	0	0	0	2	2	0
ENSG00000007341	393	272	294	247	191	261	208	307	318	255	246	244
