gene_id	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12
ENSG00000000003	215	335	363	221	1931	2345	1335	1463	5918	1009	1419	4945
ENSG00000000005	0	0	0	0	0	0	1	1	3	0	0	1
ENSG00000000419	332	467	552	345	3252	2798	576	301	2078	370	436	1285
ENSG00000000457	70	107	115	65	654	724	156	235	962	304	342	1460
ENSG00000000460	17	33	37	31	140	160	64	57	244	86	91	455
ENSG00000000938	1	1	1	0	8	9	0	0	11	0	4	1
ENSG00000000971	207	385	480	340	1945	2825	5068	4807	12289	5594	5838	42751
ENSG00000001036	619	1054	1338	834	5318	4247	1780	2074	10093	2115	2874	7144
ENSG00000001084	152	280	233	158	1119	1801	732	948	4194	867	1088	4271
ENSG00000001167	194	210	282	182	1794	1465	574	532	2063	747	742	3662
ENSG00000001460	81	85	134	95	580	668	183	250	1014	245	261	868
ENSG00000001461	429	647	1167	800	3649	3820	1624	1139	4094	796	879	5490
ENSG00000001497	245	423	493	306	2351	2407	887	758	2953	1369	1342	7040
ENSG00000001561	11	19	142	117	98	1116	398	683	2729	536	597	2544
ENSG00000001617	169	240	449	377	1286	2097	2628	1258	4267	1392	1500	5767
ENSG00000001626	0	1	0	3	3	2	9	28	33	63	43	488
ENSG00000001629	805	1193	1417	961	6915	5498	1370	1332	5754	1607	1586	7795
ENSG00000001630	92	145	134	103	1017	731	62	483	720	388	393	1441
ENSG00000001631	288	494	548	323	2880	2685	530	618	2046	850	828	3793
ENSG00000002016	90	157	152	90	1195	1383	389	265	697	646	616	2679
ENSG00000002079	0	0	0	0	3	1	1	1	71	8	9	33
ENSG00000002330	207	326	331	241	1462	1755	365	306	2385	237	302	868
ENSG00000002549	431	786	901	591	4290	3958	681	643	14777	596	709	2657
ENSG00000002586	8305	11381	13440	9501	78711	61704	3533	1431	11223	2034	2517	7278
ENSG00000002587	0	0	0	0	0	0	63	12	211	7	9	126
ENSG00000002726	0	2	0	0	2	1	5	1	9	1	1	7
ENSG00000002745	2	2	7	3	31	0	0	0	0	0	0	0
ENSG00000002746	43	73	85	63	408	439	76	8	197	1	2	32
ENSG00000002822	264	442	412	331	2234	1570	566	455	1452	447	458	1791
ENSG00000002834	5082	7599	8441	6208	40369	24658	2022	2534	11249	3417	3824	11857
ENSG00000002919	171	217	266	161	1444	1568	358	268	1720	327	381	1294
ENSG00000002933	1	21	2	0	32	43	907	2320	8261	484	621	1322
ENSG00000003056	473	748	894	665	4138	5478	1052	506	2586	708	702	4622
ENSG00000003096	4	2	1	0	9	2	171	159	574	104	117	526
ENSG00000003137	65	444	889	613	895	4707	13	50	1982	109	86	94
ENSG00000003147	3	9	0	0	54	2	390	299	383	344	452	1925
ENSG00000003249	10	12	6	1	61	37	301	171	860	75	77	333
ENSG00000003393	292	491	556	393	2965	2909	2042	1185	4309	2472	2389	11782
ENSG00000003400	45	53	40	26	568	341	3	6	68	9	21	43
ENSG00000003402	487	1098	1243	925	5580	6322	1396	3142	9431	4446	4199	15943
ENSG00000003436	170	421	502	341	1805	2721	2	21	939	19	23	48
ENSG00000003509	107	239	175	149	1340	1246	391	307	988	640	725	3170
ENSG00000003756	664	1397	1183	715	8867	9237	2856	3000	7986	6138	6435	37092
ENSG00000003987	6	13	12	11	103	79	36	127	431	139	138	850
ENSG00000003989	4	0	1	0	2	0	170	6691	16746	3159	3689	19717
ENSG00000004059	858	1381	1254	919	7789	5681	1462	944	5194	947	1142	4102
ENSG00000004139	77	169	115	113	692	529	280	414	1075	342	319	2632
ENSG00000004142	764	1221	1391	954	6968	5837	1428	1236	8415	1174	1300	4357
ENSG00000004399	2881	5510	3606	2846	21750	15727	7206	1913	8040	4452	4255	18689
ENSG00000004455	487	864	916	590	5391	4078	882	720	4544	1231	1427	5806
ENSG00000004468	0	1	2	0	1	3	4	3	119	2	3	15
ENSG00000004478	342	372	523	381	2629	3064	1087	1137	5623	1442	1759	4384
ENSG00000004487	710	1156	1199	857	6251	5637	2081	1356	4940	2053	2245	9193
ENSG00000004534	1048	1755	1744	1108	12604	15637	2463	2865	7174	7687	8917	36273
ENSG00000004660	76	201	266	199	771	392	58	50	883	112	110	349
ENSG00000004700	447	789	911	562	4186	3161	444	183	902	318	256	1663
ENSG00000004766	153	190	217	147	1257	1982	403	405	1141	529	595	2483
ENSG00000004776	1403	1765	2019	1553	10176	4266	57	303	685	103	89	362
ENSG00000004777	85	155	150	110	848	636	248	447	1729	1039	785	5181
